,year,dirpop_vote_vdem,v2exfemhos,v2exfemhog,v2xpas_democracy,v2xpas_democracy_government,v2xpas_democracy_opposition,goveffective_vdem_wbgi,corruption_cpi,wom_hog_vdem,wom_hos_vdem,held_national_election,regime_row_owid,regime_amb_row_owid,regime_redux_row_owid,wom_hoe_vdem,v2exfemhoe,wom_hoe_ever,wom_hoe_ever_dem,num_years_in_electdem_consecutive,num_years_in_libdem_consecutive,num_years_in_electdem,num_years_in_libdem,percentage_of_no_education,percentage_of_primary_education,percentage_of_complete_primary_education_attained,percentage_of_secondary_education,percentage_of_complete_secondary_education_attained,percentage_of_tertiary_education,percentage_of_complete_tertiary_education_attained,average_years_of_education,average_years_of_primary_education,average_years_of_secondary_education,average_years_of_tertiary_education,primary_enrollment_rates,secondary_enrollment_rates,tertiary_enrollment_rates,percentage_of_no_education_z,percentage_of_primary_education_z,edu_ineq_index
num_years_in_libdem_consecutive,0.0029657953453869523,0.23356576073997867,0.25327455454288184,-0.013586343130832415,0.23550354472065124,-0.2440248378830182,-0.21975710213342414,0.32890069746911416,0.217248762442762,0.08208419532368058,0.25585865188355983,0.031279880034448856,0.19033604922683775,0.10711218774152484,-0.08508698106190346,0.10365131834039691,0.10128073245283295,0.08644648940681537,0.04117849226828605,0.5885729240960782,1.0,0.6474926120229129,0.6642075882602432,-0.22615359003257934,0.22615359003257957,-0.22615359003257948,0.22615359003257968,-0.2261535900325822,-0.2261535900325574,-0.22615359003257968,0.2261535900325786,0.2261535900325763,-0.22615359003234337,-0.2261535900325789,0.20604597222050458,0.2099699162736373,0.21003525431790598,-0.11187134648182506,-0.12553151331267037,0.1704952090510162
num_years_in_electdem,0.12855414899866102,0.3057651444769751,0.3391837093806706,0.009721601683155244,0.34722374864355415,-0.34965303972831185,-0.3126243781970887,0.5421196801381527,0.34259394210050353,0.15032414516096385,0.3433300251939951,0.050695738682439706,0.6315838586438418,0.6309705940675977,0.3486091598176172,0.1601620965023031,0.1566394780295196,0.11540841874286197,0.003870090863510319,0.8589343018251624,0.6474926120229129,1.0,0.5298634688342634,-0.3274299890269459,0.3274299890269493,-0.32742998902694886,0.32742998902695025,-0.32742998902694753,-0.3274299890269754,-0.32742998902694664,0.327429989026947,0.3274299890269441,-0.3274299890272601,-0.32742998902694703,0.29127665483573895,0.29468743914472484,0.2947701830517925,-0.23608802491840616,-0.2034014783156692,0.3156274309184109
num_years_in_libdem,-0.01792768933379876,0.18056260679645406,0.20475721407972444,-0.009911482764779284,0.2153876674032551,-0.21627930897755562,-0.2015559491429535,0.2918478757121506,0.20131735537980197,0.061807850139419536,0.2070053947338526,0.02421787107646079,0.37503184141448276,0.19199153303867422,0.3602455961403885,0.06095553327822608,0.05912010893746373,0.07252600922287636,-0.013020680355763174,0.36253575262529075,0.6642075882602432,0.5298634688342634,1.0,-0.20394431436142388,0.203944314361425,-0.2039443143614234,0.20394431436142557,-0.20394431436142532,-0.2039443143614382,-0.20394431436142227,0.2039443143614241,0.2039443143614228,-0.2039443143616206,-0.2039443143614239,0.18574599327417543,0.18782405303692337,0.187847225992771,-0.0686976471495161,-0.10377846646819054,0.12386687790118757
percentage_of_no_education,-0.015682547735997282,-0.07448357172479424,-0.11622014650149651,0.2682533016889492,-0.901529460066799,0.8430313904400724,0.8642522503552528,-0.4067296380385275,-0.7895833872778723,-0.09313538867253791,-0.11695160612830612,-0.014473176618137957,-0.24283016876006766,-0.23405977675973846,-0.13262891916634395,-0.10611841235974609,-0.10403823014467091,-0.3670693734743459,0.1903693773171246,-0.29871279593719263,-0.22615359003257934,-0.3274299890269459,-0.20394431436142388,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.9735204756740067,-0.9759983934044731,-0.976840988894859,-0.0003807504871160911,1.2380485957763394e-05,0.00026455165877099416
percentage_of_primary_education,0.015682547735997362,0.07448357172479408,0.1162201465014968,-0.2682533016889497,0.9015294600668051,-0.8430313904400709,-0.8642522503552575,0.4067296380385283,0.7895833872778742,0.09313538867253914,0.11695160612830718,0.014473176618138003,0.24283016876006797,0.23405977675973796,0.13262891916634384,0.10611841235974696,0.10403823014467158,0.36706937347434826,-0.190369377317125,0.2987127959371935,0.22615359003257957,0.3274299890269493,0.203944314361425,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.9735204756740145,0.9759983934044806,0.9768409888948617,0.00038075048711611753,-1.2380485957764045e-05,-0.0002645516587710016
percentage_of_complete_primary_education_attained,-0.015682547735997344,-0.07448357172479415,-0.11622014650149606,0.2682533016889485,-0.9015294600667983,0.8430313904400758,0.8642522503552579,-0.4067296380385306,-0.7895833872778751,-0.09313538867253804,-0.11695160612830696,-0.01447317661813794,-0.24283016876006672,-0.2340597767597382,-0.13262891916634384,-0.10611841235974652,-0.10403823014467078,-0.367069373474347,0.19036937731712414,-0.29871279593719335,-0.22615359003257948,-0.32742998902694886,-0.2039443143614234,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.9735204756740087,-0.9759983934044835,-0.9768409888948622,-0.0003807504871161009,1.2380485957768312e-05,0.00026455165877099584
percentage_of_secondary_education,0.01568254773599729,0.07448357172479389,0.11622014650149581,-0.2682533016889489,0.901529460066803,-0.8430313904400698,-0.8642522503552563,0.40672963803852674,0.7895833872778777,0.09313538867253855,0.11695160612830674,0.014473176618137976,0.24283016876006883,0.23405977675973874,0.13262891916634284,0.10611841235974687,0.10403823014467162,0.3670693734743449,-0.1903693773171247,0.2987127959371938,0.22615359003257968,0.32742998902695025,0.20394431436142557,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.9735204756740152,0.975998393404481,0.9768409888948582,0.0003807504871161135,-1.238048595776537e-05,-0.00026455165877100495
percentage_of_complete_secondary_education_attained,-0.015682547735997487,-0.07448357172479428,-0.11622014650149749,0.2682533016889488,-0.9015294600667999,0.8430313904400765,0.8642522503552555,-0.4067296380385287,-0.7895833872778737,-0.09313538867253884,-0.11695160612830764,-0.014473176618138083,-0.24283016876006905,-0.2340597767597402,-0.13262891916634417,-0.10611841235974702,-0.10403823014467148,-0.36706937347434804,0.1903693773171258,-0.2987127959371933,-0.2261535900325822,-0.32742998902694753,-0.20394431436142532,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.973520475674018,-0.9759983934044836,-0.9768409888948647,-0.0003807504871160696,1.2380485957763959e-05,0.0002645516587709974
percentage_of_tertiary_education,-0.015682547736052325,-0.07448357172483291,-0.11622014650153896,0.2682533016887655,-0.9015294600670541,0.8430313904403297,0.8642522503552937,-0.4067296380385602,-0.7895833872779217,-0.09313538867253932,-0.11695160612835045,-0.014473176618150119,-0.2428301687601083,-0.2340597767597852,-0.13262891916639769,-0.10611841235974857,-0.10403823014467499,-0.36706937347435586,0.19036937731698855,-0.2987127959372029,-0.2261535900325574,-0.3274299890269754,-0.2039443143614382,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.9735204756737696,-0.9759983934041935,-0.9768409888945895,-0.00038075048710893545,1.2380485957535312e-05,0.0002645516587660125
percentage_of_complete_tertiary_education_attained,-0.015682547735993466,-0.07448357172479096,-0.11622014650149452,0.26825330168895956,-0.9015294600667895,0.843031390440053,0.8642522503552509,-0.40672963803852596,-0.7895833872778699,-0.09313538867253755,-0.11695160612830378,-0.01447317661813727,-0.24283016876006483,-0.2340597767597353,-0.1326289191663412,-0.10611841235974577,-0.1040382301446708,-0.36706937347434226,0.19036937731713074,-0.29871279593719313,-0.22615359003257968,-0.32742998902694664,-0.20394431436142227,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.9735204756740226,-0.9759983934044977,-0.9768409888948772,-0.00038075048711657474,1.238048595777846e-05,0.0002645516587713286
